NAME_2,NAME_3,lat,long,elevation,ndvi,slope,landcover_class
jakarta timur,jatinegara,-6.2273,106.8774,18.159,0.16,0.126,1
jakarta timur,kramatjati,-6.2763,106.8654,30.295,0.193,0.152,1
jakarta timur,makasar,-6.2663,106.8911,25.658,0.266,0.16,1
jakarta timur,matraman,-6.2036,106.8645,12.702,0.16,0.132,1
jakarta timur,pasarrebo,-6.3264,106.8573,48.623,0.26,0.252,1
jakarta timur,pulogadung,-6.1932,106.889,10.47,0.18,0.136,1
jakarta pusat,cempakaputih,-6.1809,106.8681,8.401,0.154,0.095,1
jakarta pusat,gambir,-6.1715,106.8181,7.605,0.127,0.061,1
jakarta pusat,joharbaru,-6.1821,106.8546,8.969,0.158,0.076,1
jakarta pusat,kemayoran,-6.1627,106.8558,6.168,0.134,0.103,1
jakarta pusat,menteng,-6.1958,106.8353,10.741,0.198,0.099,1
jakarta pusat,sawahbesar,-6.1539,106.8332,7.059,0.122,0.09,1
jakarta pusat,senen,-6.1842,106.8459,10.007,0.193,0.092,1
jakarta pusat,tanahabang,-6.2054,106.8094,12.45,0.133,0.13,1
Aceh Selatan,kluettengah,3.4275,97.3563,1206.326,0.862,10.498,8
Aceh Selatan,kluettimur,3.1722,97.4563,456.291,0.806,8.488,8
Aceh Selatan,meukek,3.5632,97.1723,1197.789,0.858,10.954,8
Agam,kamangmagek,-0.1963,100.4105,1065.463,0.46,6.346,8
Agam,lubukbasung,-0.2928,100.0092,149.687,0.766,2.184,8
Bandung,ciparay,-7.0454,107.6981,791.542,0.524,2.593,2
Bandung,rancaekek,-6.9801,107.7669,668.961,0.324,0.165,2
Bandung,solokanjeruk,-7.0109,107.7489,666.918,0.275,0.079,2
Banjar,mataraman,-3.3346,115.0343,61.826,0.657,0.99,8
Banyumas,cilongok,-7.3726,109.1494,597.775,0.597,5.325,8
Batang,reban,-7.1072,109.8799,971.328,0.609,5.897,8
Blora,cepu,-7.1632,111.5667,42.571,0.611,0.352,2
Boyolali,musuk,-7.5682,110.5281,805.259,0.558,5.2,8
Buol,momunu,1.1077,121.3699,111.742,0.699,2.416,8
Cirebon,plered,-6.6819,108.505,9.531,0.362,0.161,2
Cirebon,plumbon,-6.706,108.477,21.964,0.425,0.248,0
Empat Lawang,muarapinang,-3.8605,103.09,785.157,0.542,5.775,8
Empat Lawang,tebingtinggi,-3.6032,103.0561,303.465,0.438,2.921,8
Grobogan,karangrayung,-7.1489,110.7649,56.813,0.689,0.742,8
Grobogan,kedungjati,-7.1713,110.633,85.755,0.706,0.98,8
Kapuas Hulu,putussibauselatan,0.8157,112.9328,45.485,0.675,0.272,8
Karawang,cikampek,-6.4137,107.4365,55.102,0.405,0.562,8
Katingan,tasikpayawan,-2.051,113.4438,34.46,0.62,0.199,8
Kendal,weleri,-6.9825,110.0734,39.363,0.648,1.414,8
Kepulauan Mentawai,siporaselatan,-2.244,99.7179,73.394,0.603,1.779,8
Ketapang,sungailaur,-0.8243,110.5244,90.279,0.724,1.115,8
Klaten,bayat,-7.772,110.6549,131.363,0.536,1.078,8
Kota Bandung,gedebage,-6.9536,107.6975,667.447,0.38,0.148,0
Kota Bima,mpunda,-8.4725,118.74,94.168,0.58,2.874,8
Kota Cirebon,harjamukti,-6.7614,108.5483,32.919,0.474,0.928,8
Kota Medan,medanlabuhan,3.719,98.695,4.176,0.471,0.069,5
Kotawaringin Barat,pangkalanlada,-2.5141,111.7759,17.912,0.676,0.172,8
Kudus,jati,-6.8287,110.8389,11.954,0.45,0.182,0
Lahat,gumaytalang,-3.7805,103.4589,254.938,0.422,2.093,8
Lahat,kikimtimur,-3.6293,103.3831,109.152,0.412,0.454,8
Lahat,pajarbulan,-3.9618,103.2862,815.094,0.587,3.781,8
Lebak,cimarga,-6.4532,106.222,79.069,0.682,0.893,8
Lebak,curugbitung,-6.4356,106.3974,94.465,0.527,0.622,8
Lebak,lebakgedong,-6.6309,106.4063,826.31,0.397,6.743,8
Lebak,sajira,-6.475,106.3369,132.172,0.575,1.334,8
Lombok Timur,selong,-8.6605,116.5337,129.603,0.642,1.256,8
Majalengka,maja,-6.9028,108.2755,515.596,0.686,4.05,8
Malang,dau,-7.9498,112.5355,1103.184,0.565,7.986,8
Padang Pariaman,padangsago,-0.5354,100.2093,129.011,0.777,1.486,8
Padang Pariaman,sungaigeringging,-0.4366,100.1058,266.807,0.772,2.937,8
Padang Pariaman,sungailimau,-0.5064,100.0773,45.677,0.818,1.017,8
Pandeglang,pagelaran,-6.4191,105.8561,12.296,0.455,0.32,8
Pandeglang,sindangresmi,-6.5436,105.919,30.933,0.589,0.447,8
Pasaman Barat,kinali,-0.067,99.8918,106.505,0.822,1.69,8
Pasaman Barat,ranahbatahan,0.434,99.4604,191.433,0.815,2.123,8
Pasuruan,grati,-7.7381,113.0025,37.671,0.644,0.756,8
Pasuruan,winongan,-7.7492,112.9442,46.607,0.683,1.358,8
Pati,dukuhseti,-6.4642,111.0088,22.98,0.379,0.514,2
Pati,pati,-6.7403,111.0574,12.166,0.442,0.203,2
Pekalongan,karanganyar,-7.0491,109.6272,187.513,0.671,2.999,8
Pemalang,bodeh,-7.0332,109.477,86.91,0.63,1.276,8
Pemalang,comal,-6.8844,109.5319,10.507,0.445,0.097,2
Pinrang,duampanua,-3.6466,119.5573,83.127,0.633,2.004,8
Polewali Mandar,alu,-3.3689,118.9661,400.287,0.806,6.446,8
Polewali Mandar,limboro,-3.451,119.0151,211.077,0.752,4.293,8
Polewali Mandar,tinambung,-3.5061,119.012,32.905,0.687,1.345,8
Pulau Morotai,morotaijaya,2.5092,128.4815,324.133,0.718,5.72,8
Pulau Morotai,morotaiutara,2.3899,128.5723,291.276,0.74,4.928,8
Sanggau,meliau,-0.2658,110.3354,85.524,0.652,1.667,8
Sekadau,belitanghulu,0.5161,111.1269,44.559,0.674,0.38,8
Bojonegoro,padangan,-7.1834,111.6135,40.28,0.589,0.286,8
Bojonegoro,sukosewu,-7.2492,111.931,40.158,0.724,0.231,2
Bojonegoro,trucuk,-7.1231,111.8364,28.355,0.564,0.318,2
Boyolali,nogosari,-7.4604,110.7571,143.004,0.636,0.482,8
Bungo,tanahtumbuh,-1.4822,101.88,131.797,0.589,0.797,8
Cirebon,suranenggala,-6.6316,108.523,2.455,0.14,0.061,2
Donggala,sindue,-0.5654,119.8513,419.997,0.714,4.838,8
Flores Timur,ileboleng,-8.3647,123.2695,248.121,0.467,8.828,8
